date,price
2004-06-01,108.69
2004-07-01,111.67
2004-08-01,109.86
2004-09-01,110.92
2004-10-01,105.87
2004-11-01,103.17
2004-12-01,103.78
2005-01-01,103.58
2005-02-01,104.58
2005-03-01,106.97
2005-04-01,105.87
2005-05-01,108.17
2005-06-01,110.37
2005-07-01,112.18
2005-08-01,111.42
2005-09-01,113.28
2005-10-01,115.67
2005-11-01,119.46
2005-12-01,117.48
2006-01-01,117.18
2006-02-01,116.35
2006-03-01,117.47
2006-04-01,114.32
2006-05-01,111.85
2006-06-01,114.66
2006-07-01,114.47
2006-08-01,117.23
2006-09-01,118.05
2006-10-01,117.74
2006-11-01,116.12
2006-12-01,118.92
2007-01-01,121.34
2007-02-01,118.59
2007-03-01,118.05
2007-04-01,119.41
2007-05-01,121.63
2007-06-01,123.48
2007-07-01,118.99
2007-08-01,116.24
2007-09-01,115.27
2007-10-01,114.78
2007-11-01,110.29
2007-12-01,113.12
2008-01-01,106.63
2008-02-01,104.34
2008-03-01,99.37
2008-04-01,104.05
2008-05-01,105.46
2008-06-01,105.33
2008-07-01,108.13
2008-08-01,108.8
2008-09-01,104.76
2008-10-01,97.01
2008-11-01,95.31
2008-12-01,90.28
2009-01-01,89.51
2009-02-01,97.87
2009-03-01,98.31
2009-04-01,97.67
2009-05-01,96.45
2009-06-01,95.56
2009-07-01,95.61
2009-08-01,92.78
2009-09-01,89.76
2009-10-01,91.11
2009-11-01,86.15
2009-12-01,92.13
2010-01-01,90.19
2010-02-01,89.34
2010-03-01,93.27
2010-04-01,94.18
2010-05-01,91.49
2010-06-01,88.66
2010-07-01,86.37
2010-08-01,84.24
2010-09-01,83.32
2010-10-01,80.68
2010-11-01,84.03
2010-12-01,81.51
2011-01-01,82.04
2011-02-01,81.68
2011-03-01,82.84
2011-04-01,81.6
2011-05-01,81.6
2011-06-01,80.42
2011-07-01,77.59
2011-08-01,76.58
2011-09-01,76.7
2011-10-01,78.81
2011-11-01,78.01
2011-12-01,77.57
2012-01-01,76.3
2012-02-01,80.49
2012-03-01,82.17
2012-04-01,80.74
2012-05-01,78.81
2012-06-01,79.61
2012-07-01,78.28
2012-08-01,78.46
2012-09-01,77.58
2012-10-01,79.73
2012-11-01,82.63
2012-12-01,86.32
2013-01-01,90.92
2013-02-01,92.36
2013-03-01,94.04
2013-04-01,97.83
2013-05-01,100.63
2013-06-01,98.83
2013-07-01,97.85
2013-08-01,98.06
2013-09-01,97.89
2013-10-01,98.34
2013-11-01,102.24
2013-12-01,105.37
2014-01-01,102.49
2014-02-01,101.66
2014-03-01,102.98
2014-04-01,102.51
2014-05-01,101.64
2014-06-01,101.39
2014-07-01,102.87
2014-08-01,103.83
2014-09-01,109.42
2014-10-01,111.23
2014-11-01,118.22
2014-12-01,119.8
2015-01-01,117.9
2015-02-01,119.29
2015-03-01,120.21
2015-04-01,118.91
2015-05-01,123.75
2015-06-01,122.25
2015-07-01,124.22
2015-08-01,121.19
2015-09-01,120.03
2015-10-01,120.74
2015-11-01,122.83
2015-12-01,120.42
2016-01-01,120.63
2016-02-01,112.99
2016-03-01,112.43
2016-04-01,108.4
2016-05-01,111.14
2016-06-01,102.7
2016-07-01,103.63
2016-08-01,103.28
2016-09-01,100.9
2016-10-01,104.92
2016-11-01,112.73
2016-12-01,117.11
2017-01-01,113.53
2017-02-01,112.31
2017-03-01,111.8
2017-04-01,111.29
2017-05-01,110.96
2017-06-01,112.06
2017-07-01,110.63
2017-08-01,110.49
2017-09-01,112.46
2017-10-01,113.09
