datetime,open,high,low,close,volume
2015-02-14,27964.240234375,30847.005859375,27964.240234375,30551.724609375,5904739725
2015-02-15,30573.8046875,31535.9921875,26944.125,27845.548828125,6705983592
2015-02-16,27845.548828125,28402.400390625,27162.009765625,27705.71875,3335650376
2015-02-17,27655.837890625,29261.970703125,27501.330078125,29035.875,3261407889
2015-02-18,29056.138671875,29107.392578125,27595.021484375,28051.896484375,2991334960
2015-02-19,28061.8671875,28868.26171875,27922.36328125,28584.06640625,2173458680
2015-02-20,28580.259765625,29311.12109375,28445.470703125,29012.138671875,2841566067
2015-02-21,29008.92578125,30385.634765625,28941.328125,29101.990234375,1461942642
2015-02-22,29103.181640625,29323.111328125,27868.0234375,28097.78125,2325079890
2015-02-23,28099.923828125,28529.75,27669.720703125,28404.2578125,1949960000
2015-02-24,28416.86328125,28560.21484375,28190.9375,28376.04296875,1687859544
2015-02-25,28394.46484375,28426.412109375,27980.962890625,28213.810546875,1365863522
2015-02-26,28198.009765625,28268.474609375,27857.84375,28222.171875,1625747778
2015-02-27,28223.365234375,30598.171875,28206.814453125,30334.984375,5260101189
2015-02-28,30298.17578125,30438.240234375,29815.236328125,30386.970703125,1667080843
2015-03-01,30389.361328125,31349.484375,29391.453125,31180.005859375,3021357671
2015-03-02,31198.578125,33219.66796875,30940.73046875,33132.77734375,4863572483
2015-03-03,33057.77734375,34212.63671875,32131.052734375,33700.0078125,6036685319
2015-03-04,33734.4609375,34016.046875,32094.68359375,32664.53515625,4949820630
2015-03-05,32622.3125,33839.47265625,31819.939453125,33152.41015625,4957940096
2015-03-06,33083.0234375,33293.52734375,32388.30078125,32953.1171875,3494270687
2015-03-07,32901.28515625,33573.09765625,32640.169921875,33380.61328125,2153903497
2015-03-08,33401.40234375,33573.58203125,32934.02734375,33125.50390625,2664478246
2015-03-09,33180.80078125,35457.796875,33072.58203125,35164.08203125,7185417044
2015-03-10,35195.04296875,36380.3359375,35206.671875,35314.6328125,8202977632
2015-03-11,35286.18359375,36118.13671875,35267.671875,35977.4453125,4122877821
2015-03-12,35946.859375,36054.6015625,35402.44140625,35711.02734375,3953236464
2015-03-13,35682.3984375,35752.0546875,34634.20703125,34634.20703125,3813941670
2015-03-14,34525.56640625,34756.19140625,34104.8671875,34215.203125,2744680974
2015-03-15,34159.36328125,34776.0234375,34107.29296875,34742.3359375,1452092831
2015-03-16,34656.4453125,35658.140625,34665.01953125,35269.26953125,2611409057
2015-03-17,35269.515625,35460.94921875,34508.78515625,34628.90234375,2607395388
2015-03-18,34575.7734375,34619.81640625,30026.876953125,30766.1328125,6843240320
2015-03-19,30715.8359375,31957.66796875,29801.51171875,31501.837890625,6366334360
2015-03-20,31505.216796875,31975.09765625,31371.55859375,31417.732421875,2215357701
2015-03-21,31405.130859375,31471.38671875,30685.66796875,31210.80078125,2056125903
2015-03-22,31197.8359375,32377.734375,31158.587890625,32157.87890625,2212756381
2015-03-23,32150.078125,33206.31640625,31349.197265625,31942.11328125,2731725025
2015-03-24,31922.595703125,31997.638671875,29222.912109375,29417.369140625,4800027786
2015-03-25,29642.1953125,29728.3671875,28306.115234375,29420.54296875,4286094550
2015-03-26,29429.982421875,30341.888671875,29219.615234375,29625.013671875,3067016000
2015-03-27,29629.06640625,30601.599609375,29261.267578125,29421.154296875,2057440590
2015-03-28,29414.72265625,30275.81640625,29414.72265625,30108.2421875,1910471190
2015-03-29,30101.333984375,30148.85546875,28709.3203125,28941.09765625,2587436456
2015-03-30,28960.892578125,29953.904296875,28528.662109375,29705.595703125,2761382096
2015-03-31,29696.953125,29874.958984375,29104.40625,29299.552734375,2719959840
2015-04-01,29299.43359375,29605.904296875,28965.728515625,29568.787109375,2735655576
2015-04-02,29546.90234375,30456.4375,29341.9375,30282.169921875,3144567494
2015-04-03,30290.427734375,30643.2265625,30134.802734375,30254.146484375,2753519536
2015-04-04,30250.45703125,30365.490234375,29870.857421875,30179.794921875,1486226760
2015-04-05,30187.408203125,30976.009765625,29971.01953125,30972.072265625,2335307420
2015-04-06,30986.69140625,31185.37890625,30360.61328125,30523.62890625,2393485874
2015-04-07,30497.5859375,30571.25390625,30166.240234375,30449.95703125,2221074198
2015-04-08,30436.005859375,30410.87109375,29330.220703125,29424.69140625,3613075776
2015-04-09,29392.1484375,29612.91796875,28795.03125,29372.705078125,2608907490
2015-04-10,29374.875,29382.185546875,27990.712890625,28378.216796875,3471905220
2015-04-11,28371.484375,28794.7421875,28150.177734375,28435.916015625,1967260692
2015-04-12,28433.873046875,28577.283203125,28066.09765625,28383.228515625,1488901701
2015-04-13,28358.830078125,28536.451171875,26663.939453125,26959.423828125,3743063272
2015-04-14,26980.0703125,26958.873046875,25818.150390625,26176.349609375,3788517360
2015-04-15,26166.078125,26667.462890625,26139.48828125,26667.462890625,2688036680
2015-04-16,26677.47265625,27337.857421875,26661.798828125,27211.615234375,2953082870
2015-04-17,27211.853515625,27210.056640625,26422.1953125,26500.669921875,2429103220
2015-04-18,26497.220703125,26671.171875,26262.158203125,26557.029296875,1538447100
2015-04-19,26568.91796875,26913.37109375,26460.1640625,26449.33203125,1784854630
2015-04-20,26450.7578125,26951.61328125,26381.966796875,26777.666015625,2189255887
2015-04-21,26776.94921875,28149.935546875,26801.7265625,28149.935546875,2988617700
2015-04-22,28189.779296875,28511.013671875,28000.77734375,28080.04296875,2859601689
2015-04-23,28065.294921875,28277.681640625,27920.916015625,28271.396484375,2036824160
2015-04-24,28212.57421875,28259.71484375,27350.529296875,27513.955078125,2551751839
2015-04-25,27510.02734375,27667.783203125,26927.314453125,26933.619140625,1660488084
2015-04-26,26935.998046875,26999.52734375,25563.55859375,26094.615234375,3441984804
2015-04-27,26094.49609375,27779.625,26034.125,27312.546875,4594934880
2015-04-28,27274.787109375,27328.263671875,26545.2109375,26838.349609375,2551185036
2015-04-29,26806.978515625,26970.080078125,26621.68359375,26866.634765625,2253064770
2015-04-30,26852.953125,28601.427734375,26749.41796875,28212.244140625,4040308142
2015-05-01,28187.630859375,28632.90625,27886.611328125,27886.611328125,2260846448
2015-05-02,27918.095703125,28324.95703125,27918.095703125,28229.1875,1506265680
2015-05-03,28223.181640625,29227.71875,28127.412109375,28874.20703125,2221696233
2015-05-04,28873.966796875,29155.3828125,28594.2734375,28703.671875,2548718106
2015-05-05,28683.736328125,28728.400390625,27906.814453125,28317.9921875,2869816963
2015-05-06,28333.341796875,28355.5625,27379.3515625,27431.375,3532119936
2015-05-07,27417.05078125,28647.169921875,27312.1875,28408.87890625,3479008680
2015-05-08,28393.318359375,29491.4296875,28324.52734375,29212.349609375,3287696445
2015-05-09,29201.087890625,29684.44140625,28706.357421875,28969.0546875,2370703995
2015-05-10,28956.716796875,29236.904296875,28611.720703125,28787.4609375,1799288180
2015-05-11,28787.8203125,29319.728515625,28705.970703125,29085.59765625,2509374153
2015-05-12,29084.037109375,29167.578125,28847.89453125,28890.0390625,2310441132
2015-05-13,28924.30859375,29066.576171875,28003.26171875,28171.41015625,3239324318
2015-05-14,28151.984375,28343.26171875,27890.232421875,28244.306640625,2910357177
2015-05-15,28247.40625,28473.68359375,28242.5390625,28339.1484375,1947607538
2015-05-16,28343.798828125,28350.12109375,28063.634765625,28165.96875,1322668519
2015-05-17,28148.912109375,28389.240234375,28148.912109375,28257.58203125,1328656019
2015-05-18,28267.724609375,28382.177734375,27890.55078125,27954.37890625,2012125773
